name,price,rr
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹15,990",
"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999","16,135 Ratings & 1,498 Reviews"
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999","7,031 Ratings & 734 Reviews"
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999","16,135 Ratings & 1,498 Reviews"
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999","7,031 Ratings & 734 Reviews"
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999","16,135 Ratings & 1,498 Reviews"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹6,999","1,426 Ratings & 112 Reviews"
"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹21,499","5,206 Ratings & 615 Reviews"
"POCO X5 Pro 5G (Yellow, 256 GB)","₹24,999","3,659 Ratings & 378 Reviews"
"REDMI 10 (Caribbean Green, 64 GB)","₹9,999","2,07,741 Ratings & 12,967 Reviews"
"Infinix NOTE 12i (Alpine White, 64 GB)","₹10,499","3,202 Ratings & 334 Reviews"
"REDMI 10 Power (Power Black, 128 GB)","₹12,170","1,281 Ratings & 58 Reviews"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,977","7,623 Ratings & 423 Reviews"
"realme C33 (Sandy Gold, 32 GB)","₹8,999","21,504 Ratings & 886 Reviews"
"realme C33 (Aqua Blue, 32 GB)","₹8,999","21,504 Ratings & 886 Reviews"
itel It2171,₹999,"4,634 Ratings & 388 Reviews"
"realme C33 (Night Sea, 32 GB)","₹8,999","21,504 Ratings & 886 Reviews"
"REDMI 10 (Pacific Blue, 128 GB)","₹11,999","27,867 Ratings & 1,943 Reviews"
"realme C33 (Aqua Blue, 64 GB)","₹9,999","63,864 Ratings & 2,773 Reviews"
"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999","5,926 Ratings & 585 Reviews"
LAVA A1 Josh 2021,"₹1,039","7,997 Ratings & 672 Reviews"
GFive U707,₹749,"11,279 Ratings & 1,040 Reviews"
"realme C33 2023 (Night Sea, 128 GB)","₹10,499",
"realme C33 2023 (Sandy Gold, 128 GB)","₹10,499",
"realme C33 2023 (Aqua Blue, 128 GB)","₹10,499",
"Infinix Note 12 Pro 5G (Snowfall, 128 GB)","₹16,999","22,267 Ratings & 2,641 Reviews"
"Infinix Note 12 Pro 5G (Force Black, 128 GB)","₹16,999","22,267 Ratings & 2,641 Reviews"
"vivo T1X (Gravity Black, 64 GB)","₹11,999","86,077 Ratings & 4,780 Reviews"
"vivo T1X (Gravity Black, 128 GB)","₹12,999","86,077 Ratings & 4,780 Reviews"
"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999","7,031 Ratings & 734 Reviews"
Micromax X412,₹940,"15,363 Ratings & 1,306 Reviews"
I Kall K100,₹704,"6,074 Ratings & 561 Reviews"
"Infinix NOTE 12i (Metaverse Blue, 64 GB)","₹10,499","3,202 Ratings & 334 Reviews"
Nokia 150 DS 2020,"₹2,499","21,870 Ratings & 1,686 Reviews"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,989","4,291 Ratings & 359 Reviews"
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","₹7,099","3,082 Ratings & 256 Reviews"
"vivo T1X (Gravity Black, 128 GB)","₹14,999","4,749 Ratings & 278 Reviews"
